"Summary: When a little girl discovers a mischievous orangutan on the loose in her bedroom, she can't understand why it keeps shouting Ooo! at her shampoo and her chocolate. But when Rang-tan explains that there are humans running wild in her rainforest, burning down trees so they can grow palm oil to put in products, the little girl knows what she has to do: help save the orangutans!",1231372,,JF SEL,32 unnumbered pages : colour illustrations.,,,,,,9.78153E+12,,,Published in collaboration with Greenpeace.,,London,2019,2019,,written by James Sellick ; illustrated by Frann Preston-Gannon.,,There's a Rang-tan in my bedroom,,,,,Monograph,text,,,,,"Sellick, JamesPreston-Gannon, Frann",Greenpeace International,Wren & Rook,,"Orang-outangs - FictionOils and fats - FictionEndangered species - FictionWildlife conservation - FictionOrangutansEndangered speciesWildlife conservationFatsFictionPicture books",,,
,1252009,,HR 10: 567.9 JOH,"23 pages : colour illustrations, maps.",,,,,,9.78193E+12,,,Text level: Early childhood.,,"Glebe, NSW",2017,2017,,Rebecca Johnson ; illustrated by Paul Lennon.,,Thick-headed dinosaurs : pachycephalosaurs,,,,,Monograph,text,,,,,"Johnson, RebeccaLennon, Paul",,Pascal Press,"Steve Parish kids. First facts; Steve Parish kids; ",Dinosaurs,,,
Summary: In this book Suzie the Scientist helps us learn about the differences between things that float and sink. We learn that irrespective of size and weight some things will float and some things will sink. Suzie also helps us make predictions about common objects and events and reports the results in a data table. (Back cover),1231579,,HR 7: 532 OSB,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Things that float and sink : physical sciences. Reading level: PM 7-9, Fountas & Pinnell E-F. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,"Sienna Osborne, Randall Hall, Richard John.",,Things that float and sink,,,,,Monograph,text,,,,,"Osborne, SiennaHall, RandallJohn, Richard",,Publicious Pty Ltd,Suzie the scientist; 8,"HydrodynamicsLevelled readersBuoyancyPicture books",,,Things that float and sink : physical sciences
"Summary: In this book Suzie the Scientist helps us learn about how things move. Some things are easy to move by pushing or pulling. We can even throw some things in the air easily. But other things are hard to push, pull or throw. Suzie shows us that being able to move things depends on their size, shape and weight. She also shows us how to move things that are heavy. (Back cover)",1231573,,HR 4: 531 OSB,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Things that move : physical sciences. Reading level: PM 4-6, Fountas & Pinnell C-D. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,"Sienna Osborne, Randall Hall, Richard John.",,Things that move,,,,,Monograph,text,,,,,"Osborne, SiennaHall, RandallJohn, Richard",,Publicious Pty Ltd,Suzie the scientist; 4,"Force and energySize and shapeLevelled readersMotionForces and energyDimensionsPicture books",,,Things that move : physical sciences
"Live what you believe in, die fighting for it. The third day comes a frost, a killing frost. The enemy spreads across the land, cold and relentless. They invade. They destroy. They kill. Only the heroism of Ellie and her friends can stop them.",1231596,,MF MAR,278 p.,,,[New] Pan ed.,,,9.78174E+12,,,,,Sydney,2012,2012,,John Marsden.,,"The third day, the frost #3",,,,,Monograph,text,,,,,"Marsden, John",,Pan,"The tomorrow series; bk. 3Tomorrow series; bk.3","Survival - FictionFriendship - FictionAustralian literatureSurvivalFriendshipFiction",,,
"Summary: One, two, three. Every day was a hop and a skip for Three. He was happy to walk from here to there, wherever his nose led, or wherever his legs took him all the way to new friends. Stephen Michael's King's whimsical tale of the simple pleasures and innocence of childhood. (Publisher)",1266507,,JF KIN,32 unnumbered pages : colour illustrations.,,,,,,9.78176E+12,,,,,"Gosford, NSW",2019,2019,,Stephen Michael King.,,Three,,,,,Monograph,text,,,,,"King, Stephen Michael",,Scholastic Press,,"Dogs - FictionFriendship - FictionDogsFriendshipFictionPicture books",,,
,1231592,,HR 12: KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: F ; Reading level: 12 ; DRA level: 12. Word count: 193.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg ; illustrated by Anna Evans.,,Three blind mice,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, Anna",,"Junior Learning, Inc","Fantails book banded readers. Early level 4, Fiction; 2Fantails book banded readers; 2","Mice - FictionLevelled readersMiceFiction",,,
,1265572,,PF LAR,91 p. : ill.,,,,,,9.78192E+12,,,&quot;24 hours to save the world -- and go to a birthday party&quot;--Cover.,,"Prahran, Vic.",2009,2009,,by H.I. Larry ; illustrations by Andy Hook.,,Thrill ride,,,,,Monograph,text,,,,,"Larry, H.IHook, Andy",,Hardie Grant Egmont,Zac Power; ,"Spies - FictionAmusement parks - FictionEspionageAmusement parksFiction",,,
"Summary: After Alderpaw returns from the gorge that was once home to SkyClan, the ferocious cats who drove SkyClan out trace Alderpaw's path back to ShadowClan, making it their next target.",1231344,,PF HUN,"376, 6 pages : illustrations, maps.",,,First paperback edition.,,,9.78006E+12,,,,,"New York, NY",2016,2016,,Erin Hunter.,,Thunder and shadow #2,,,,,Monograph,text,,,,,"Hunter, Erin",,Harper,"Warriors. A vision of shadows; book twoWarriors; 2","Cats - FictionProphecies - FictionCatsProphecyFiction",,,
"Summary: One magical friendship. One roaring adventure. The magical tale of a bold young chimney sweep and a remarkable tiger, a dangerously hypnotic ruby and a mystical land found across an ocean and through a storm. Fly never meant to end up in a cage with a man-eating tiger. And though she's no princess, when the tiger bows to her, she can't help vowing to free him and return him home. But the bird-filled jungles and cloud-topped mountains of the tiger's homeland are an ocean away. And not everyone wants the tiger to return. With dark and dangerous forces working against them, will Fly be able to fulfil her promises, keep them both alive and - just maybe - become the queen her tiger knows her to be?",1266484,,PF CHR,249 pages.,,,,,,9.78151E+12,,,,,London,2020,2020,,Penny Chrimes.,,Tiger heart,,,,,Monograph,text,,,,https://cdn.hachette.com.au/resources/9781510107045-teachers-resources.pdf,"Chrimes, Penny",,Orion,,"Tigers - FictionOrphans and orphanages - FictionFriendship - FictionTigersOrphansFriendshipFiction",,,
"Summary: Adventurer Tim Cope had a childhood dream: to travel the 10,000 kilometres from Mongolia to Hungary on horseback -- a journey undertaken centuries ago by the legendary leader of the Mongols, Genghis Khan. On this journey, Tim met a dog called Tigon. For more than three years, Tim and Tigon endured searing heat and bitter cold; dark lonely nights when wolves circled their camp; hunger; despair; joy; and the wild beauty of the landscape that changed constantly around them. They met the people of the steppe, who welcomed Tim and Tigon into their homes, and shared their traditions and histories. This is the story of a unique journey -- a journey filled with the spirit of the pioneering explorers of old. It is the story of an extraordinary friendship. (Back cover)",1231931,,950 COP,"xv, 335 pages, 16 unnumbered pages of plates : colour illustrations, maps.",,,,,,9.78176E+12,,,On cover: A man. A Dog. An epic adventure through the land of the nomads. A young reader&#39;s edition of the bestselling &quot;On the Trail of Genghis Khan&quot;. ,,"Sydney, New South Wales, Australia",2019,2019,,Tim Cope.,,Tim & Tigon,,,,,Monograph,text,,,,,"Cope, Tim",,Pan Macmillan Australia,,"Cope, TimVoyages and travelsAnimal-human relationshipsExplorersDogsTravelAsia - Discovery and exploration",,,Tim and Tigon.
,1231789,,HR 8: SMI,16 pages : colour illustrations.,,,,,,9.78017E+12,,,Running words: 155.,,"South Melbourne, Victoria, Australia",2017,2017,,story by Annette Smith ; illustrations by Julian Bruere.,,Tiny and the big wave,,,,,Monograph,text,,,,,"Smith, AnnetteBruere, Julian",,Cengage Learning Australia,"PM guided reading. Yellow. Level 8; PM guided reading; PM library; ","Dogs - FictionBeaches - FictionDogsBeachesFictionLevelled readers",,,
"Summary: Once upon a time, although this happens all the time, a tiny star fell to earth . This touching and timeless story combines, for the first time, the talents of world-renowned author Mem Fox with the heartwarming illustrations of Freya Blackwood. These two luminaries craft a truly unique and moving story about the journey of life, to be cherished and shared for generations to come. (Publisher)",1255681,,JF FOX,32 unnumbered pages : colour illustrations.,,,,,,9.78067E+12,,,,,Melbourne,2019,2019,,Mem Fox ; illustrated by Freya Blackwood.,,The tiny star,,,,,Monograph,text,,,,,"Fox, MemBlackwood, Freya",,Penguin Books Australia,,"Stars - FictionLife - FictionStars (Universe)LifePicture booksFiction",,,
,1266390,,HR 25: 910.916 STE,"48 p. : ill., ports.",,,,,,9.78143E+12,,,,,"Washington, D.C.",2012,2012,,Melissa Stewart.,,Titanic,,,,,Monograph,text,,,,,"Stewart, Melissa",,National Geographic,"National Geographic readers. Level 3; National Geographic kids readers; ","Titanic (Ship)Shipwrecks - Atlantic OceanShipwrecksPassenger ships",,,
"Summary: 'A busy week, a slower day Brings time to dream and time to play.' From the creators of the much-loved All Through the Year comes an ebook edition of this journey through a week in the life of an Australian family, celebrating those precious days that have no plans. (Book cover)",1211285,,TR AV KITS: GOD,4(28 unnumbered pages : colour illustrations.) books + 1 CD,,,Paperback edition.,,,9.78014E+12,,,Kit contains 4 (28p: col ill) books + 1 CD,,"Melbourne, Victoria",2016,2016,,"Jane Godwin, Anna Walker.",,Today we have no plans,,,,,Monograph,kit,,,,,"Godwin, Jane",,Puffin Books,,"Family life - FictionChildren - FictionFamiliesChildrenVerse storiesFiction",,,
,1211288,,TR AV KIT: SUL,4x (32 p. : col. ill.) + 1 CD,,,1st paperback ed.,,,9.78192E+12,,,,,"Kingswood, S. Aust.",2010,2010,,Rosemary Sullivan and Dee Huxley.,,Tom Tom,,,,,Monograph,kit,,,,,"Sullivan, RosemaryHuxley, Dee",,Working Title Press,,"Children, Aboriginal - FictionAboriginal peoplesChildrenFictionAustralian literature",,,
,1231493,,HR 19: KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: K ; Reading level: 19 ; DRA level: 20. Word count: 458.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg ; illustrated by Anna Evans.,,Tommy the stray,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 3, Fiction; 6Fantails book banded readers; 6","Cats - FictionPets - FictionLevelled readersCatsPetsFiction",,,
,1211394,,MF MAR,286 p.,,,,,,330274864,9.78174E+12,,,,"Chippendale, N.S.W.",1994,1994,,John Marsden.,,"Tomorrow, when the war began #1",,,,,Monograph,text,,,,,"Marsden, John",,Pan Macmillan Australia,,"Survival - FictionFriendship - Fiction",,,
"Summary: In this book, Suzie the scientist helps us learn about materials that were used to make tools and weapons. We learn that different materials were used during different times in history. Suzie also shows us how combining different material can change their properties to produce more effective tools and weapons. (Back cover)",1231560,,HR 16: 621.9 OSB,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Tools and weapons : chemical sciences. Reading level: PM 16-18, Fountas & Pinnell I-J. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,Sienna Osborne.,,Tools and weapons,,,,,Monograph,text,,,,,"Osborne, Sienna",,Publicious Pty Ltd,Suzie the scientist; 18,"Levelled readersToolsWeaponsPicture books",,,Tools and weapons : chemical sciences
"Summary: Buttons McGinty is back and this time he's travelling through space and time - in search of his parents (missing, presumed missing). Join Buttons and his friends as they enter a universe unlike any you've seen before. Once again, Buttons is using Morse code to help solve the mystery of his missing parents. (Back cover)",1255691,,PF DAR,237 pages : illustrations.,,,,,,9.78178E+12,,,,,"Gosford, NSW",2018,2018,,Rhys Darby.,,The top secret interdimensional notes of Buttons McGinty,,,,,Monograph,text,,,,,"Darby, Rhys",,Scholastic Australia Pty Limited,Buttons McGinty; 2,"Missing persons - FictionParent and child - FictionTime travel - FictionMorse code - FictionMissing personsParentsTime travelFiction",,,
"Summary: Fourteen year old orphan Dessa Redd is an acrobat in a traveling circus. Her twin brother was snatched away when they were just children. Topper, the circus juggler, recruits Dessa and the circus strongman, Fisk, for the job of robbing the royal treasury.",1231674,,MF THR: CHA,112 p. : col. ill.,,,,,,9.78155E+12,,,,,"Toronto, Ont.",2010,2010,,Scott Chantler.,,Tower of treasure #1,,,,,Monograph,graphic,,,,,"Chantler, Scott",,Kids Can,Three thieves; bk. 1,"Brothers and sisters - FictionRobberies - FictionTwins - FictionMissing persons - FictionCircuses - FictionGraphic novelsTwinsSiblingsTheftFictionMissing personsCircus",,,
"Summary: Millions of tons of plastic slip into oceans every year. Some floats and travels slowly with the currents, endangering the health of marine animals. The rest is hardly visible but is far more dangerous. Tiny bits of plastic sprinkle the ocean's surface or mix into the sandy seafloor and beaches. It ends up inside birds, fish, and other animals, harming them-and ultimately humans. Experts struggle with fear and hope as they work to stop the flood of plastic threatening living organisms across the globe.",1231455,,363.738 SMI,"64 pages : colour illustrations, maps.",,,,,,9.78076E+12,,,,,"North Mankato, Minnesota",2018,2018,,by Danielle Smith-Llera.,,Trash vortex : how plastic pollution in choking the world's oceans,,,,,Monograph,text,,,,,"Smith-Llera, Danielle",,Compass Point Books,"Captured history. Science; Captured history; ","Plastics - Environmental aspectsMarine pollutionOceansPlasticsMarine habitatsPollution",,,
,1265644,,CLA 3 SMI,16 p. : col. ill.,,,,,,,,,Text type: Recount (Procedural),,South Melbourne,2009,2009,,story by Annette Smith ; illustrations by Lyz Turner-Clark.,,The treasure-hunt puzzle,,,,,Monograph,text,,,,,"Smith, AnnetteTurner-Clark, Lyz",,Nelson Cengage Learning,PM benchmark;  level 16,"Treasure - FictionPlay - FictionFictionTreasurePlay (Recreation)",,,
"Summary: Following clues left by their missing father, twelve-year-old twins Bickford and Rebecca Kidd sail from the Caribbean to New York City with their siblings to finish the dangerous quest of their world-famous treasure-hunting parents.",1231466,,PF PAT,451 pages : illustrations.,,,,,,9.7801E+12,,,,,London,2014,2014,,"by James Patterson and Chris Grabenstein, with Mark Shulman ; illustrated by Juliana Neufeld.",,Treasure hunters #1,,,,,Monograph,text,,,,,"Patterson, JamesGrabenstein, ChrisShulman, MarkNeufeld, Juliana",,Young Arrow,"Treasure hunters series; [1]Treasure hunters; 1","Treasure - FictionVoyages and travels - FictionMissing persons - FictionBrothers and sisters - FictionTwins - FictionTreasureTravelMissing personsSiblingsTwinsFictionNew York (City) - Fiction",,,
Summary: The story of the youngest person to sail around the world single handedly.,1231468,,910.4 WAT,"386 p., [32] p. of plates : col. ill., map, ports.",,,,,,9.78073E+12,,,,,Sydney,2011,2011,,Jessica Watson.,,True spirit : the Aussie girl who took on the world,,,,,Monograph,text,,,,,"Watson, Jessica",,Hachette Australia,,"Watson, JessicaSailors - AutobiographyOcean travel - AutobiographySailing - AutobiographyAdventure and adventurers - AutobiographySailingOceansTravelAutobiographies",,,
,1231620,,MF TRU,412 p. : ill.,,,,,,9.78188E+12,,,,,"Ormond, Vic.",2008,2008,,edited by Paul Collins.,,Trust me!,,,,,Monograph,text,,,,https://fordstreetpublishing.com/shop/free-downloads/,"Collins, Paul",,Ford Street Pub,,"Australian literature - CollectionsAustralian literature",,,
"Summary: With the help of a magical book, Noah Wriggle and his best friend Blue like to design weird and wonderful animal mash-up creations - and then bring them to life! But sometimes their mash-imals love being alive just a little too much. In The Tumbling Tigerdillo, an armadillo is mashed up with a stripy tiger, creating a roaring roller! When Tig stows away on a camping trip, can Noah and Blue get him home in time?",1231605,,PF WEE,88 pages : illustrations.,,,,,,9.78176E+12,,,,,"Richmond, VIC",2019,2019,,Nova Weetman ; art by Chris Kennett.,,The tumbling tigerdillo #4,,,,,Monograph,text,,,,,"Weetman, NovaKennett, Chris",,Hardie Grant Egmont,Noah & Blue's zooniverse; 4,"Magic - FictionMonsters - FictionCamping - FictionSorceryMythical creaturesCampingFiction",,,
,1231516,,EQU 005 LET,Computer board; Computer stand; 30 Ramps; 10 Bits; 8 Gear bits; 6 Crossovers; 4 Gears; 3 Interceptors; 1 Presser Puzzle/comic book with 60 puzzles; 20 Red marbles; 20 Blue marbles; 30 Counterweights,,,,,,,,,Includes:Computer boardComputer stand30 Ramps10 Bits8 Gear bits6 Crossovers4 Gears3 Interceptors1 PresserPuzzle/comic book with 60 puzzles20 Red marbles20 Blue marbles30 Counterweights,,,2017,2017,,,,Turing tumble,,,,,Monograph,game,,,,"https://moretonbaycollege.sharepoint.com/:b:/r/sites/MBBC/wholecollege/library/Shared%20Documents/LIBRARY%20CURRICULUM/Teacher%20Notes_PF/Turing%20Tumble%20Practice%20Guide%201_0.pdf?csf=1&e=Gfb7pThttps://moretonbaycollege.sharepoint.com/:b:/r/sites/MBBC/wholecollege/library/Shared%20Documents/LIBRARY%20CURRICULUM/Teacher%20Notes_PF/Turing%20Tumble%20Educator%20Guide%201_0.pdf?csf=1&e=dW1hD7",,Learning Resources Australia,Learning Resources,,"MathematicsGamesPuzzlesCoding",,,
,1231697,,CS 005 LET,Computer board; Computer stand; 30 Ramps; 10 Bits; 8 Gear bits; 6 Crossovers; 4 Gears; 3 Interceptors; 1 Presser Puzzle/comic book with 60 puzzles; 20 Red marbles; 20 Blue marbles; 30 Counterweights,,,,,,,,,Includes:Computer boardComputer stand30 Ramps10 Bits8 Gear bits6 Crossovers4 Gears3 Interceptors1 PresserPuzzle/comic book with 60 puzzles20 Red marbles20 Blue marbles30 Counterweights,,,2017,2017,,,,Turing tumble,,,,,Monograph,game,,,,"https://moretonbaycollege.sharepoint.com/sites/MBBC/wholecollege/library/Shared%20Documents/LIBRARY%20CURRICULUM/Teacher%20Notes_PF/Turing%20Tumble%20Educator%20Guide%201_0.pdf?csf=1&e=dW1hD7&cid=a9328643-9a6d-486e-a398-8c9a2233f082https://moretonbaycollege.sharepoint.com/sites/MBBC/wholecollege/library/Shared%20Documents/LIBRARY%20CURRICULUM/Teacher%20Notes_PF/Turing%20Tumble%20Practice%20Guide%201_0.pdf?csf=1&e=Gfb7pT&cid=3e6e5720-8e11-4fd5-97ea-9feacc2b4edb",,Learning Resources Australia,Learning Resources,,"MathematicsGamesPuzzlesCoding",,,
"Summary: A baby turtle emerges from her nest and sets off on her perilous adventure across the beach to reach the ocean. During her journey out to sea, she faces some environmental hazards along the way. (Publisher)",1231663,,JF MAN,23 unnumbered pages : colour illustrations.,,,,,,9.78099E+12,,,,,"Underwood, Qld.",2017,2017,,Luise Manning.,,Turtle needs help,,,,,Monograph,text,,,,,"Manning, Luise",,InHouse Publishing,,"Turtles - FictionAnimals - Infancy - FictionMarine pollution - FictionEndangered species - FictionTurtlesBaby animalsPollutionEndangered speciesAustralian literatureFictionPicture books",,,
,1211309,,TR AV KIT: BRO,4x (30p. : col. ill.) + 1 CD,,,,,,070223219X,,,,,"St. Lucia, Qld.",2001,2001,,illustrated by Kim Michelle Toft ; story by Alan Brown.,,Turtle's song,,,,,Monograph,kit,,,,,"Toft, Kim MichelleBrown, Alan",,University of Queensland Press,Jam roll; ,Turtles,,,
,1266410,,CLA 1: SMI,16 p. : col. ill.,,,,,,170106845,,,&quot;Exploring: addition to twenty. Strand: number&quot;-Back cover.,,"Southbank, Vic.",2003,2003,,"[text, Annette Smith ; photography by Lindsay Edwards].",,Twenty steps to the treasure,,,,,Monograph,text,,,,,"Smith, AnnetteEdwards, Lindsay",,Thomson Learning,PM maths;  bk. 6,"Games - FictionArithmetic - Fiction",,,
,1266413,,CLA 1: GIL,16 p. : col. ill.,,,,,,017010687X,,,&quot;Exploring: fractions. Strand: number&quot;-Back cover.,,"Southbank, Vic.",2003,2003,,"[text, Jenny Giles ; edited by Katrina Wilson ; photography by Lindsay Edwards]..",,Two halves and four quarters,,,,,Monograph,text,,,,,"Giles, JennyWilson, KatrinaEdwards, Lindsay",,Thomson Learning,PM maths;  bk. 9,"Sandwiches - FictionApples - FictionFractions - FictionSize and shape - Fiction",,,
"Summary: For those who want to master the art of creation, The Ultimate Minecraft Builder's Guide is the definitive book out there. Perfect for players of all ages who want to improve their building skills, this book will take them all the way from crafting their first shelter, to putting the finishing touches to their very own mega-build masterclasses. Includes full-colour images and step-by-step instructions for cool Minecraft builds.",1266512,,JNF 794.8 MIN,176 pages : colour illustrations.,,,,,,9.78134E+12,,,On cover: 100 % Unofficial.,,New York,2019,2019,,,,The ultimate builder's guide in Minecraft.,,,,,Monograph,text,,,,,,,Scholastic,,"Minecraft (Computer game)Computer games",,,
"Summary: Kensy and Max are back in London for no time at all before things begin to heat up -- quite literally. As a result, Granny Cordelia ships them off to Australia on an undercover mission. The twins find themselves planted in a posh Sydney school where first appearances prove to be deceiving. What seems like a straightforward assignment turns into something so much bigger. Kensy and Max must employ all their spy skills -- the fate of their parents, and who they've been searching for, depends on it. (Back cover)",1265607,,PF HAR,372 pages.,,,,,,9.78014E+12,,,,,"North Sydney, NSW",2018,2018,,Jacqueline Harvey.,,Undercover,,,,,Monograph,text,,,,,"Harvey, Jacqueline",,Penguin Random House Australia,Kensy and Max; 3,"Spies - FictionTwins - FictionBrothers and sisters - FictionMissing persons - FictionEspionageTwinsSiblingsMissing personsFiction",,,
"Summary: Tempest is a talented diver and with her older sister Elysea, she has explored the ruins of many cities on the ocean floor, searching for anything of value to sell in the salt-crusted markets on Zenith Reef. However, after Elysea mysteriously drowns, Tempest is forced to dive and scavenge alone, barely scraping by. But when she finds a real living green plant at her dive site, an item so rare it is almost priceless, she finally has the money to have all her questions answered -- by her dead sister. For the price of 3,000 notes, the research facility on the island of Palindromena will revive the departed for 24 hours before returning them to death. It is a time for the dead to make peace with the past and let the living move forward. Strong-willed Elysea has other plans. Convincing Tempest to break her out of the facility, they embark on a dangerous adventure to find out the truth about their supposedly deceased parents, the secret behind the revival process, and the true price for restored life. (Publisher)",1266498,,SF SCH,401 pages.,,,,,,9.78176E+12,,,,,Crows Nest NSW,2020,2020,,Astrid Scholte.,,The vanishing deep,,,,,Monograph,text,,,,,"Scholte, Astrid",,Allen & Unwin,,"Underwater exploration - FictionScuba diving - FictionSecrecy - FictionFuture life - FictionBrothers and sisters - FictionScuba divingSecrecyAfterlifeSiblingsFiction",,,
,1265636,,CLA 3 363.73 NEL,[2] p. : col. ill.,,,,,,,,,Text type: Discussion.,,South Melbourne,[2009],2009,,by Elsie Nelley.,,Vehicle pollution,,,,,Monograph,text,,,,,"Nelley, Elsie",,Nelson Cengage Learning,PM benchmark;  level 30,"Motor cars - Environmental aspectsCarsEnvironmental impact",,,
,1231610,,BB CAR,[22] p. : col. ill.,,,Oversized board-book ed.,,,9.78014E+12,,,Big board book (24 cm x 28 cm).,,London,2011,2011,,by Eric Carle.,,The very hungry caterpillar,,,,,Monograph,text,,,,,"Carle, Eric",,Puffin,,"Caterpillars - FictionCounting - FictionTime - FictionMetamorphosis - FictionCaterpillarsCountingTimeMetamorphosisFiction",,,
"Summary: Hey! What are you guys doing? We're going to metamorphosise. Meta-WHATnow? Transform into butterflies. Right. Right. I knew that - wait?! You're telling me I can become a butterly? Yes. With wings? Yes. Wait for me!! Ross Burach's tongue-in-cheek exploration of metamorphosis will make you flutter with glee, while also providing real facts about how caterpillars transform into butterflies.",1211153,,JF BUR,32 unnumbered pages : colour illustrations.,,,,,,9.78134E+12,,,,,"Lindfield, NSW",2019,2019,,Ross Burach.,,The very impatient caterpillar,,,,,Monograph,text,,,,,"Burach, Ross",,Scholastic,,"ButterfliesMetamorphosisPicture books",,,
"Summary: Sam's finally got what he always wanted - he's popular! He's owns the school's most wanted marble, kids sit with him at lunch and even Johnny Wilson has stopped calling him 'derr-brain'. Things are looking up at home too. When his new baby sister arrives, he'll no longer be a lonely, only child. But when Sam becomes the teacher's pet his popularity drops faster than a tomato in a lift. Soon even his best friend Gary won't talk to him, and the new kid at home is a crying disaster. Who knew that getting exactly what you wanted could be so painful?",1211181,,PF OLO,218 pages : illustrations.,,,,,,9.78176E+12,,,,,"Sydney, N.S.W.",2019,2019,,James O'Loghlin ; illustrated by Matthew Martin.,,Very popular me,,,,,Monograph,text,,,,,"O'Loghlin, JamesMartin, Matthew",,Pan Macmillan Australia,"The new kid; [2]New kid; 2","Middle schooling - FictionFriendship - FictionBrothers and sisters - FictionInfants - FictionMiddle schoolingPopularityFriendshipSiblingsBabies (Humans)Fiction",,,
"Summary: Think about your writing from a new perspective and learn to tell a story in the most effective way possible with this flash fiction workbook. Popular with creative writers around the world, flash fiction is an ultra-short story format (usually 1,000 words or less) that distills a narrative into its most economic and impactful form. In this lay-flat paperback workbook you'll find 101 flash fiction writing prompts, each crafted to inspire an incredible variety of very short stories. Some prompts instruct you to focus on setting or developing a specific character. Other prompts ask you to play with story structure, to begin at the end or jump right into the middle of the action. You are also encouraged to bring the journal to different locations (a coffee shop or a museum) and take story cues from your surroundings. (From Amazon)",1266349,,TR 808.3 GIL,101 pages.,,,,,,9.78142E+12,,,,,New York,2018,2018,,John Gillard.,,The very short story starter for creative writing : 101 flash fiction prompts,,,,,Monograph,text,,,,,"Gillard, John",,Abrams Noterie,,"Writing (Authorship)Imaginative textsShort stories",,,
"Summary: There's a monster in the jungle and it's gobbling up the trees! It sounds like a job for the very super bear! Can The Very Super Bear and his sidekick, Bruce the Goose, save the jungle from the cranky, yellow monster?",1266508,,JF BLA,24 unnumbered pages : colour illustrations.,,,,,,9.78174E+12,,,,,"Gosford, NSW",2019,2019,,Nick Bland.,,The very super bear,,,,,Monograph,text,,,,,"Bland, Nicholas",,Scholastic Press,Very cranky bear; ,"Bears - FictionHeroes - FictionMonsters - FictionBearsHeroesMythical creaturesFictionPicture books",,,
Summary: This is the tale of Poison Ivy's Venus flytrap! And why this trophy now stands in the Batcave.,1231392,,PF BAT DAH,36 pages : colour illustrations.,,,,,,9.78147E+12,,,"At head of title: DC, super heroes.",,Oxford,2018,2018,,by Michael Dahl ; illustrated by Luciano Vecchio ; Batman created by Bob Kane with Bill Finger.,,The villainous venus flytrap,,,,,Monograph,text,,,,,"Dahl, MichaelVecchio, LucianoKane, BobFinger, Bill",,Raintree,"Batman. Tales of the Batcave; Batman; ","Superheroes - FictionVillains - FictionGood and evil - FictionHeroesVillainsGood and evilFiction",,,
"Summary: Perched high on the snowy slopes of the Mabombo Ranges lies The Grandest Hotel on Earth. It's wilder than the African savanna, more fantastical than Disneyland and more magical than Shangri-la.  So when ordinary eleven-year-old Vincent meets the hotel's young Florence he sets off on a path leading into his most wondrous dreams.  But of course, dreams have a funny way of taking strange and surprising turns and, before long, Vincent is torn between right and wrong, friendship and family and the most enticing of desires, to see into the future. (Publisher)",1231449,,F NIC,243 pages.,,,,,,9.78176E+12,,,,,Sydney,2019,2019,,Lisa Nicol.,,Vincent and the Grandest Hotel on Earth,,,,,Monograph,text,,,,,"Nicol, Lisa",,Puffin Books,,"Hotels, motels, etc. - FictionFriendship - FictionHotelsFriendshipFiction",,,
"Summary: Violet is a girl with big ideas. She is always thinking. One day she starts thinking about nothing. What is nothing? Where is nothing? Is it real? And if nothing is real, is anything real? A thought-provoking picture book for curious kids.",1211112,,JF BUR,32 unnumbered pages : colour illustrations.,,,,,,9.78193E+12,,,,,"Fremantle, WA",2019,2019,,Fiona Burrows.,,Violet & nothing,,,,,Monograph,text,,,,,"Burrows, Fiona",,Fremantle Press,,"Thought and thinking - FictionOntology - FictionCuriosityThinkingExistenceFictionPicture books",,,Violet and nothing
,1251955,,EQU 793.7 VIR,"Rulebook, 35 bidding cards, 4 bonus cards, 4 dice, 81 component cards",,,,,,,,,Box contains:Rule book35 bidding cards4 bonus cards4 dice81 component cards,,,,,,,,Virulence,,,,,Equipment,game,,,,,,,,,"Board games - Mathematical aspectsBoard games - Study and teachingGamesBoard gamesCard gamesBiology - Study and teachingBiology - Mathematical aspects",,,Virulence. An Infectious Card Game
,1255629,,SPA 468.2 MCL,1 volume,,,,,,9.78145E+12,,,Text in English and Spanish.,,"Harlow, Essex",2014,2014,,Anneli McLachlan.,,¡Viva! Libro 2,,,,,Monograph,text,,,,,"McLachlan, Anneli",,Pearson Education,Always learning; ,"Spanish languageSpanish language - Problems, exercises, etcTextbooksProblem sets",,,
